id,name,description,sequence,amount,amount_type,type_tax_use,invoice_repartition_line_ids/factor_percent,invoice_repartition_line_ids/repartition_type,invoice_repartition_line_ids/document_type,invoice_repartition_line_ids/account_id,refund_repartition_line_ids/factor_percent,refund_repartition_line_ids/repartition_type,refund_repartition_line_ids/document_type,refund_repartition_line_ids/account_id,children_tax_ids,tax_group_id
tcp_cu_tax10_sale,10% VENTAS TCP (BASE),10% VENTAS TCP,1,10,percent,sale,100,base,invoice,,100,base,refund,,,cu_tax_group_sale_tcp
,,,,,,,100,tax,invoice,account_tcp_810001,100,tax,refund,account_tcp_810001,,
tcp_cu_tax10_sale_reverse,10% VENTAS TCP (INVERSA),10% VENTAS TCP,2,-10,percent,,100,base,invoice,,100,base,refund,,,cu_tax_group_sale_tcp
,,,,,,,100,tax,invoice,account_common_805,100,tax,refund,account_common_805,,
tcp_cu_tax10_sale_all,10% VENTAS TCP (IMPUESTO),10% VENTAS TCP,3,0,group,sale,,,,,,,,,tcp_cu_tax10_sale,cu_tax_group_sale_tcp
,,,,,,,,,,,,,,,tcp_cu_tax10_sale_reverse,
tcp_cu_tax0_sale,0% TCP (VENTAS),0% VENTAS TCP,4,0,percent,sale,100,base,invoice,,100,base,refund,,,cu_tax_group_sale_tcp
,,,,,,,100,tax,invoice,,100,tax,refund,,,
